Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYME,21.0,30.0,13.0,11.0
ZWS,36.0,40.0,29.0,36.0
ZVRA,22.0,25.0,18.0,8.0
ZVIA,3.0,3.0,3.0,2.0
ZUMZ,22.0,25.0,19.0,13.0
ZTS,212.0,244.0,165.0,160.0
ZTO,23.0,26.0,21.0,18.0
ZSPC,15.0,20.0,10.0,6.0
ZM,85.0,115.0,71.0,83.0
ZLAB,47.0,55.0,36.0,28.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,28.0
ZION,58.0,71.0,47.0,49.0
ZIMV,16.0,23.0,10.0,8.0
ZIM,12.0,16.0,9.0,17.0
ZH,4.0,4.0,4.0,4.0
ZGN,8.0,10.0,7.0,8.0
ZG,81.0,95.0,60.0,67.0
ZEUS,41.0,41.0,41.0,31.0
ZETA,30.0,45.0,15.0,13.0
ZD,49.0,95.0,33.0,32.0
ZBRA,321.0,425.0,232.0,298.0
ZBH,113.0,150.0,95.0,96.0
Z,83.0,100.0,71.0,68.0
YUMC,48.0,60.0,37.0,44.0
YUM,156.0,185.0,135.0,147.0
YSG,3.0,3.0,3.0,5.0
YPF,40.0,59.0,25.0,35.0
YOU,32.0,45.0,26.0,24.0
YMM,14.0,18.0,10.0,12.0
YMAB,16.0,26.0,3.0,3.0
YETI,39.0,55.0,29.0,32.0
YELP,34.0,38.0,30.0,39.0
XYZ,75.0,115.0,50.0,57.0
XYL,146.0,165.0,125.0,126.0
XRX,9.0,11.0,8.0,5.0
XRAY,20.0,28.0,14.0,16.0
XPOF,13.0,19.0,9.0,8.0
XPO,133.0,167.0,113.0,125.0
XPEV,22.0,31.0,12.0,20.0
XPEL,58.0,58.0,58.0,37.0
XOMA,69.0,104.0,35.0,26.0
XOM,125.0,144.0,105.0,108.0
XNCR,29.0,40.0,6.0,8.0
XMTR,34.0,48.0,21.0,33.0
XIFR,17.0,30.0,9.0,9.0
XHR,13.0,17.0,9.0,12.0
XGN,7.0,8.0,7.0,5.0
XERS,6.0,8.0,4.0,4.0
XEL,76.0,80.0,68.0,71.0
